CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks
6.5,1,1,1,77,3.9,0,1,55,70
8.3,1,2,2,87,4.3,1,1,81,88
8.3,2,2,2,90,4.6,1,1,75,86
8.3,1,2,1,84,4.4,0,1,62,82
8.1,1,2,2,84,4.5,1,1,78,84
8.3,2,3,2,86,4.8,1,1,78,86
8.4,1,1,0,78,4.3,1,1,55,69
7.1,0,2,2,89,4.2,1,1,61,76
8.1,1,3,0,88,4.3,0,0,72,85
6.5,1,1,0,83,3.6,0,1,55,70
7.6,1,3,0,83,4.1,1,1,57,67
8.6,2,3,2,90,4.8,1,1,82,87
8.3,2,3,2,84,4.5,1,0,73,84
8.2,1,3,2,88,4.4,1,0,74,84
6.7,0,1,0,66,3.7,0,1,55,66
7.5,0,1,0,66,3.7,0,1,61,66
8.8,2,3,2,90,4.8,1,1,84,88
6.7,1,1,0,71,4.3,0,1,57,60
8.6,1,3,2,90,4.8,1,1,80,80
7.7,1,3,0,71,4.2,0,1,80,82
8.3,1,2,2,76,4.5,0,1,74,70
8.2,1,3,1,79,4.6,1,1,73,84
6.8,1,1,0,82,4.6,0,1,58,75
8.1,2,3,0,88,4.6,1,1,78,67
7.5,1,2,0,71,4.0,1,0,55,66
7.5,1,2,0,83,4.7,0,1,62,83
6.5,1,1,0,61,4.1,0,0,66,69
8.4,2,3,0,84,4.8,1,1,71,81
8.6,2,3,2,90,4.8,1,1,75,84
6.9,1,2,0,66,4.4,1,1,57,84
8.5,1,2,0,89,4.8,1,1,74,82
7.0,1,2,0,77,4.1,0,1,66,73
8.5,1,2,3,77,4.8,1,1,66,85
7.6,0,1,0,69,3.1,0,0,60,62
7.6,1,1,0,71,4.0,1,1,69,88
8.3,2,3,2,90,4.8,1,1,82,86
8.2,0,3,2,76,4.7,1,1,83,85
7.8,2,3,2,90,4.8,1,1,81,88
8.0,0,1,1,86,4.0,0,1,55,74
8.7,1,3,2,79,4.6,1,1,76,88
8.0,0,1,0,75,3.8,1,0,57,64
7.5,1,2,0,79,3.8,0,0,64,70
8.3,1,3,2,77,4.0,0,1,76,82
7.6,1,2,0,76,4.2,0,1,57,64
6.6,0,1,2,81,4.3,0,1,67,72
6.8,0,2,0,80,4.3,1,0,55,64
6.5,1,1,0,79,4.3,0,1,60,73
8.3,2,3,0,82,4.6,1,1,80,67
8.2,1,3,1,85,4.7,1,1,76,83
7.3,2,3,2,90,4.5,1,1,79,84
8.5,1,3,0,81,4.8,1,1,73,83
7.9,1,1,1,79,4.1,0,1,68,72
7.3,1,2,1,83,4.2,0,0,61,64
6.5,1,1,0,72,3.8,0,0,55,68
8.7,1,3,3,88,3.8,1,1,68,82
7.6,1,1,0,68,4.3,0,0,62,68
7.5,0,2,0,79,3.7,0,0,78,85
6.7,1,1,1,67,3.7,0,0,56,64
7.4,1,3,0,83,3.8,0,1,69,85
7.2,2,3,0,76,4.3,1,1,74,82
8.4,2,3,2,90,4.8,1,1,85,78
8.2,2,3,2,90,4.8,1,1,77,85
8.6,1,3,2,90,4.8,1,1,78,85
7.6,0,1,0,77,3.0,0,0,55,69
8.6,1,3,2,72,4.0,1,1,80,64
7.7,2,3,2,76,4.8,1,1,70,85
7.5,1,1,1,70,4.0,1,1,55,64
7.5,1,1,1,72,4.4,0,1,60,69
8.5,0,3,3,84,4.6,0,1,86,70
6.8,1,1,0,71,4.5,0,0,63,69
8.0,1,3,2,90,4.5,1,1,87,70
6.8,1,1,1,61,3.5,0,0,66,72
7.4,1,1,0,85,3.9,0,1,62,68
6.5,1,2,2,88,4.7,1,1,77,69
7.6,0,1,0,83,3.8,0,1,56,66
6.6,1,3,1,80,4.4,1,1,79,85
6.7,1,1,1,74,3.9,0,1,56,83
7.4,0,1,0,76,4.0,0,0,60,70
8.3,1,3,2,83,4.7,1,0,77,87
8.5,1,3,2,90,4.8,1,1,83,84
8.1,2,3,2,82,4.2,1,1,72,82
8.2,2,3,2,86,4.4,1,1,79,85
8.3,2,3,2,90,4.8,1,1,72,88
7.3,1,3,2,83,4.7,1,1,70,84
8.1,1,1,0,81,3.5,1,1,78,84
6.5,1,1,1,75,3.6,0,1,60,64
7.8,1,2,0,75,4.5,0,1,55,71
8.7,2,3,0,80,4.7,1,1,80,74
8.4,0,1,0,77,3.5,0,1,55,63
7.4,1,1,1,80,3.6,1,1,78,74
8.1,2,2,1,75,3.8,0,0,55,64
7.0,1,2,0,68,4.0,0,1,55,74
8.1,1,1,0,70,4.3,1,0,68,61
8.0,2,3,2,89,3.7,0,1,81,83
6.6,0,1,1,75,3.2,0,0,62,68
7.7,2,3,0,87,4.4,1,1,78,82
8.0,1,3,2,90,4.8,1,1,75,82
7.4,1,2,2,78,4.7,0,1,70,70
8.3,1,3,1,86,4.8,0,1,80,67
8.4,2,3,2,88,4.8,1,1,70,84
8.1,1,2,0,78,4.3,1,1,71,83
8.2,1,2,0,81,4.8,0,1,55,70
7.4,1,1,0,81,3.9,0,1,62,69
7.4,1,2,1,67,4.2,0,1,58,64
7.4,0,1,1,90,4.8,1,1,71,69
7.7,2,2,1,84,4.7,1,1,78,82
8.7,1,2,1,73,4.4,1,1,63,85
8.0,0,3,1,90,4.1,1,1,64,61
7.6,1,2,0,90,4.8,1,1,77,86
7.3,1,3,0,71,4.5,0,0,58,70
8.3,1,3,2,90,4.8,1,1,88,73
6.5,1,3,2,85,4.8,1,1,55,70
7.4,1,1,0,88,4.0,0,1,56,66
8.6,2,2,2,90,4.8,1,1,78,83
8.4,0,3,2,90,4.8,1,1,81,86
6.6,1,1,1,68,3.3,1,0,60,62
8.3,1,2,0,76,4.4,1,1,82,84
8.0,2,3,2,71,4.1,1,1,77,83
6.6,0,1,0,68,4.8,0,0,55,71
8.6,1,2,1,67,4.0,1,1,55,67
8.0,2,3,2,86,4.8,1,1,62,83
7.1,1,1,0,69,3.6,1,1,55,70
8.4,2,1,2,90,4.8,1,1,79,83
6.9,1,2,1,73,4.5,0,0,60,65
8.0,2,3,2,90,4.8,1,1,82,78
6.5,1,1,1,76,4.6,1,1,60,73
7.4,1,1,0,76,4.3,0,0,57,74
8.2,1,3,1,78,4.0,0,1,58,85
7.5,2,1,2,80,4.0,0,0,76,75
7.6,1,1,1,83,4.5,1,1,74,79
7.7,0,1,0,76,3.4,0,0,55,65
8.5,1,3,0,90,4.8,1,1,85,85
6.5,1,3,2,73,4.3,1,1,55,68
6.7,1,1,0,77,3.8,0,0,55,57
8.3,2,3,1,90,4.8,1,1,69,83
6.9,1,2,1,72,3.5,0,1,58,70
8.6,1,1,2,84,4.3,1,1,57,82
6.7,1,1,0,81,4.5,0,1,65,61
8.0,1,2,0,68,4.5,1,0,62,65
8.6,2,3,3,87,4.7,1,1,70,86
8.6,1,3,0,74,4.4,1,1,86,81
6.5,0,1,1,70,4.4,0,1,55,62
8.3,2,3,1,90,4.8,1,0,55,80
7.6,0,1,0,86,4.0,1,0,67,66
8.4,2,3,2,90,4.8,1,1,84,88
7.8,1,1,1,69,4.1,0,0,55,64
8.7,2,3,2,81,4.8,1,1,87,85
8.3,1,3,2,82,4.7,0,0,59,63
7.6,1,1,1,70,4.5,0,0,62,71
8.1,1,2,1,80,4.4,1,1,76,85
7.7,1,2,2,86,4.8,1,1,73,86
7.5,1,1,1,68,4.6,1,1,58,66
8.8,1,2,2,77,4.3,1,1,74,79
7.9,1,1,1,75,4.4,1,1,74,70
7.6,1,1,0,81,3.8,0,1,73,72
8.4,1,3,2,75,4.5,1,1,79,62
7.6,0,1,0,90,4.1,0,1,77,79
7.4,1,2,0,89,4.2,1,1,74,83
7.8,2,3,2,90,4.8,1,1,86,82
8.6,1,2,3,76,4.7,1,1,81,80
6.5,1,1,1,68,4.4,1,0,60,60
6.6,1,3,2,90,4.8,1,1,67,83
7.5,1,3,0,86,4.2,1,1,81,71
8.5,1,1,2,86,4.5,1,1,74,83
7.6,1,2,2,87,4.8,1,1,90,76
7.5,1,1,0,66,3.9,0,1,55,78
8.2,2,1,1,90,4.0,0,1,55,66
8.2,0,3,0,79,4.7,1,1,65,87
7.8,0,3,0,89,4.8,1,1,83,79
8.7,2,3,2,90,4.8,1,1,88,84
7.5,0,1,1,80,4.2,1,0,84,64
8.0,1,2,2,82,4.7,1,1,75,73
7.4,0,1,1,67,3.4,0,0,62,64
7.8,2,3,2,83,4.5,1,0,90,83
8.3,2,3,0,79,4.5,1,0,59,85
7.6,2,3,2,79,4.7,1,1,55,82
8.1,1,1,0,60,3.7,1,0,77,66
7.4,2,1,0,78,3.6,0,0,55,70
7.1,1,1,1,66,4.2,0,0,55,65
6.5,1,2,0,78,3.8,0,0,56,85
8.4,1,2,0,81,4.0,0,1,55,59
7.8,1,3,1,89,4.8,1,1,75,85
7.8,1,2,0,82,4.7,1,1,77,67
6.5,0,1,1,80,3.7,0,1,67,68
6.5,1,3,2,90,4.8,1,1,76,82
6.5,1,1,0,69,3.7,0,1,79,67
8.0,0,3,2,74,4.7,1,1,77,88
7.0,1,1,2,74,4.5,1,1,78,86
7.3,1,2,0,75,3.9,0,1,80,71
7.3,1,3,2,75,4.2,1,1,72,84
7.1,1,1,0,77,4.1,0,1,74,66
7.1,1,1,1,63,3.6,0,1,58,68
7.6,1,1,1,70,3.8,0,1,55,69
6.7,0,2,1,63,4.4,0,1,59,61
6.8,1,1,0,73,4.3,0,0,63,68
7.5,1,2,1,77,4.6,1,1,84,65
7.7,1,2,1,76,3.8,0,1,59,64
6.5,1,1,2,68,3.5,0,0,76,61
8.0,0,2,2,90,4.8,1,1,68,85
8.2,0,3,2,85,4.8,1,1,83,79
8.3,1,3,2,86,4.8,1,1,67,81
7.6,1,3,0,70,3.9,1,1,85,67
8.0,1,1,0,81,4.2,1,1,72,70
8.3,1,1,1,72,4.7,1,1,66,71
8.4,1,3,0,73,4.5,1,1,82,83
8.3,2,3,2,90,4.8,1,1,82,88
7.5,1,1,1,65,4.5,0,0,55,67
7.1,0,1,0,70,4.4,0,0,77,67
8.4,2,3,2,90,4.8,1,1,70,85
6.5,0,1,0,68,4.5,0,0,66,74
7.6,1,2,0,76,4.1,1,1,70,62
6.6,1,1,1,69,4.6,0,0,55,79
7.9,1,1,0,83,4.8,1,1,89,85
8.0,0,0,1,85,4.8,1,1,67,83
7.7,1,2,0,87,4.0,1,1,73,84
7.7,1,3,0,80,4.8,1,1,76,86
8.1,1,2,0,87,4.3,1,1,76,66
7.6,1,1,2,67,4.0,0,1,57,61
7.5,0,3,2,72,4.7,1,1,72,82
7.7,1,1,1,75,4.6,0,1,72,75
8.3,1,3,2,90,4.8,1,1,76,88
8.0,2,3,2,82,4.3,1,1,77,84
8.6,0,3,2,89,4.3,1,1,83,68
6.9,0,2,0,73,4.3,0,0,80,66
7.7,0,2,0,77,4.1,0,0,65,69
7.6,1,2,0,71,4.6,0,1,55,68
7.8,1,3,0,78,4.4,0,1,77,70
7.7,1,1,0,70,3.9,1,1,71,82
8.3,0,3,2,90,4.8,1,1,87,84
8.4,2,3,2,80,4.5,1,1,57,64
7.3,0,2,0,81,4.2,0,1,56,71
8.1,0,2,0,82,4.2,1,0,68,75
7.8,1,1,2,81,3.9,0,1,62,72
8.3,2,1,1,81,4.0,1,1,55,70
8.3,2,2,2,77,4.0,1,1,84,81
7.5,0,3,1,74,4.8,1,1,76,71
6.8,2,3,3,90,4.8,1,1,81,83
8.0,0,2,0,60,4.2,0,0,55,70
7.4,0,2,0,71,4.0,0,1,55,73
7.7,1,2,0,68,3.7,0,1,74,71
6.5,0,1,0,81,4.1,0,1,64,65
7.7,1,1,0,72,4.1,0,0,62,65
8.3,0,1,0,82,4.1,1,1,55,73
7.4,1,1,0,65,3.7,0,0,65,66
6.6,0,1,2,79,4.2,1,0,69,84
7.4,1,3,1,89,3.6,1,1,68,83
6.7,1,1,0,74,3.9,1,1,74,66
8.2,2,1,1,88,4.4,1,1,74,88
8.2,1,3,1,79,4.4,0,1,77,81
7.6,2,2,1,88,4.8,1,1,83,86
6.8,1,1,1,67,4.4,0,0,68,65
7.3,1,1,0,65,3.9,0,0,69,67
